region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_Min
Grand Est,2019/07/15,23.0,17.0,14.0,67.5,9.9375,24.0,947.0
Hauts-de-France,2019/07/15,19.0,15.0,15.0,80.5,9.5,47.0,958.0
Normandie,2019/07/15,18.0,15.0,18.0,77.0,10.0,36.0,950.0
Nouvelle-Aquitaine,2019/07/15,24.33333333333333,19.0,16.333333333333332,61.66666666666666,10.0,2.0,921.3333333333334
Occitanie,2019/07/15,26.5,21.5,25.5,54.0,10.0,7.0,907.0
Pays de la Loire,2019/07/15,26.0,18.0,14.0,65.0,10.0,5.0,934.0
Provence-Alpes-Côte d'Azur,2019/07/15,26.0,23.0,37.0,50.0,10.0,9.0,905.0
Île-de-France,2019/07/15,24.0,17.0,16.0,64.0,10.0,9.0,947.0
Bourgogne-Franche-Comté,2019/07/16,25.5,19.0,10.5,67.5,9.0,13.0,932.0
Bretagne,2019/07/16,26.0,20.0,15.0,71.0,10.0,22.0,939.0
Centre-Val de Loire,2019/07/16,26.0,19.0,8.0,66.0,10.0,18.0,937.0
Corse,2019/07/16,27.0,24.0,12.0,55.0,9.5,17.0,894.0
Grand Est,2019/07/16,25.0,18.5,8.0,67.0,10.0,7.0,945.0
Hauts-de-France,2019/07/16,22.5,15.5,8.0,74.0,9.0,27.0,955.5
Normandie,2019/07/16,21.0,17.0,13.0,76.0,9.0,8.0,948.0
Nouvelle-Aquitaine,2019/07/16,27.0,21.33333333333333,11.666666666666666,59.66666666666666,9.666666666666666,17.333333333333332,919.3333333333334
Occitanie,2019/07/16,28.0,23.5,16.5,57.0,10.0,7.0,906.0
Pays de la Loire,2019/07/16,29.0,21.0,7.0,59.0,10.0,28.0,932.0
Provence-Alpes-Côte d'Azur,2019/07/16,26.0,25.0,12.0,56.0,10.0,8.0,903.0
Île-de-France,2019/07/16,27.0,21.0,8.0,58.0,10.0,9.0,945.0
Bourgogne-Franche-Comté,2019/07/17,26.0,20.5,9.5,64.5,10.0,19.0,930.5
Bretagne,2019/07/17,26.0,20.0,18.0,60.0,10.0,12.0,937.0
Centre-Val de Loire,2019/07/17,28.0,22.0,9.0,53.0,10.0,22.0,935.0
Corse,2019/07/17,26.0,24.0,12.0,54.0,10.0,5.0,894.0
Grand Est,2019/07/17,26.0,20.0,7.5,67.0,10.0,25.5,943.5
Hauts-de-France,2019/07/17,25.5,18.5,8.0,67.5,10.0,25.5,953.5
Normandie,2019/07/17,22.0,19.0,12.0,67.0,10.0,39.0,945.0
Nouvelle-Aquitaine,2019/07/17,25.666666666666668,22.0,18.0,58.333333333333336,10.0,11.0,917.3333333333334
Occitanie,2019/07/17,28.5,23.0,17.5,59.5,10.0,22.0,904.5
Pays de la Loire,2019/07/17,27.0,22.0,18.0,56.0,10.0,9.0,930.0
Provence-Alpes-Côte d'Azur,2019/07/17,27.0,26.0,15.0,57.0,10.0,9.0,901.0
Île-de-France,2019/07/17,29.0,24.0,6.0,51.0,10.0,21.0,943.0
Bourgogne-Franche-Comté,2019/07/18,26.0,21.0,11.5,58.0,10.0,36.5,928.5
Bretagne,2019/07/18,20.0,17.0,20.0,88.0,7.625,71.0,935.0
Centre-Val de Loire,2019/07/18,25.0,20.0,16.0,59.0,10.0,31.0,933.0
Corse,2019/07/18,27.0,25.0,11.0,55.0,10.0,4.0,892.0
Grand Est,2019/07/18,26.0,21.5,11.5,55.5,9.9375,26.0,941.0
Hauts-de-France,2019/07/18,19.5,16.5,18.5,82.0,9.5,54.0,951.5
Normandie,2019/07/18,21.0,17.0,21.0,86.0,6.0,63.0,943.0
Nouvelle-Aquitaine,2019/07/18,21.666666666666668,18.33333333333333,15.333333333333334,74.0,9.375,51.333333333333336,916.0
Occitanie,2019/07/18,27.5,22.5,19.0,60.5,10.0,31.0,902.5
Pays de la Loire,2019/07/18,22.0,19.0,22.0,73.0,9.0,64.0,928.0
Provence-Alpes-Côte d'Azur,2019/07/18,28.0,26.0,30.0,45.0,10.0,5.0,901.0
Île-de-France,2019/07/18,24.0,21.0,15.0,60.0,10.0,49.0,941.0
Bourgogne-Franche-Comté,2019/07/19,25.5,20.5,9.5,73.0,9.5,37.0,926.5
Bretagne,2019/07/19,25.0,17.0,21.0,82.0,9.0,69.0,932.0
Centre-Val de Loire,2019/07/19,27.0,19.0,13.0,77.0,9.0,49.0,931.0
Corse,2019/07/19,27.0,26.0,11.0,53.0,10.0,6.0,890.0
Grand Est,2019/07/19,25.0,20.5,12.5,78.5,9.8125,68.0,938.5
Hauts-de-France,2019/07/19,23.5,18.0,16.5,78.0,9.5,46.5,949.5
Normandie,2019/07/19,23.0,18.0,19.0,74.0,9.75,68.0,941.0
Nouvelle-Aquitaine,2019/07/19,27.0,19.666666666666668,7.666666666666667,77.66666666666667,8.708333333333334,39.66666666666666,914.3333333333334
Occitanie,2019/07/19,28.5,24.0,15.5,63.0,10.0,5.0,900.5
Pays de la Loire,2019/07/19,26.0,20.0,18.0,74.0,8.0,37.0,925.0
Provence-Alpes-Côte d'Azur,2019/07/19,27.0,25.0,14.0,68.0,10.0,3.0,899.0
Île-de-France,2019/07/19,27.0,21.0,14.0,59.0,10.0,53.0,939.0
Bourgogne-Franche-Comté,2019/07/20,29.5,23.0,21.0,58.0,9.8125,28.0,924.0
Bretagne,2019/07/20,25.0,21.0,23.0,83.0,9.875,70.0,930.0
Centre-Val de Loire,2019/07/20,26.0,22.0,22.0,61.0,9.875,42.0,929.0
Corse,2019/07/20,28.0,26.0,12.0,56.0,10.0,4.0,889.0
Grand Est,2019/07/20,29.5,23.0,20.0,68.5,9.9375,27.5,936.0
Hauts-de-France,2019/07/20,23.0,19.5,26.5,81.0,9.5625,65.5,947.0
Normandie,2019/07/20,23.0,19.0,24.0,86.0,9.625,56.0,939.0
Nouvelle-Aquitaine,2019/07/20,25.0,21.33333333333333,15.666666666666666,74.66666666666667,9.958333333333334,37.333333333333336,912.3333333333334
Occitanie,2019/07/20,28.0,23.0,13.0,72.0,9.8125,41.0,899.0
Pays de la Loire,2019/07/20,25.0,21.0,28.0,82.0,7.875,55.0,923.0
Provence-Alpes-Côte d'Azur,2019/07/20,26.0,25.0,22.0,65.0,10.0,5.0,897.0
Île-de-France,2019/07/20,26.0,23.0,22.0,56.0,10.0,66.0,937.0
Bourgogne-Franche-Comté,2019/07/21,27.5,22.0,10.0,79.0,9.6875,46.5,922.0
Bretagne,2019/07/21,25.0,19.0,12.0,76.0,9.0,42.0,928.0
Centre-Val de Loire,2019/07/21,28.0,21.0,7.0,62.0,10.0,30.0,927.0
Corse,2019/07/21,29.0,27.0,10.0,51.0,10.0,4.0,887.0
Grand Est,2019/07/21,26.0,22.0,9.5,72.0,8.9375,56.5,934.0
Hauts-de-France,2019/07/21,22.5,18.0,15.5,74.5,9.0,20.0,945.0
Normandie,2019/07/21,22.0,18.0,9.0,73.0,8.0,23.0,937.0
Nouvelle-Aquitaine,2019/07/21,27.0,21.0,11.666666666666666,70.33333333333333,9.25,22.0,910.3333333333334
Occitanie,2019/07/21,29.5,24.0,18.0,71.5,9.9375,52.0,897.0
Pays de la Loire,2019/07/21,26.0,21.0,17.0,70.0,8.0,18.0,921.0
Provence-Alpes-Côte d'Azur,2019/07/21,27.0,26.0,16.0,60.0,10.0,7.0,895.0
Île-de-France,2019/07/21,29.0,22.0,9.0,54.0,10.0,33.0,934.0
Bourgogne-Franche-Comté,2019/07/22,29.5,24.0,10.0,68.0,10.0,4.0,920.0
Bretagne,2019/07/22,31.0,22.0,10.0,68.0,10.0,2.0,926.0
Centre-Val de Loire,2019/07/22,33.0,25.0,7.0,54.0,10.0,2.0,925.0
Corse,2019/07/22,29.0,27.0,11.0,50.0,10.0,4.0,885.0
Grand Est,2019/07/22,28.0,23.5,8.5,60.5,10.0,12.0,932.0
Hauts-de-France,2019/07/22,28.0,21.0,10.5,71.0,10.0,4.0,942.0
Normandie,2019/07/22,27.0,22.0,8.0,72.0,10.0,3.0,935.0
Nouvelle-Aquitaine,2019/07/22,33.0,24.666666666666668,7.333333333333333,58.0,10.0,4.333333333333333,908.3333333333334
Occitanie,2019/07/22,34.0,27.5,16.0,66.0,9.9375,26.0,895.5
Pays de la Loire,2019/07/22,33.0,24.0,6.0,64.0,10.0,3.0,919.0
Provence-Alpes-Côte d'Azur,2019/07/22,28.0,27.0,14.0,64.0,10.0,5.0,893.0
Île-de-France,2019/07/22,35.0,27.0,10.0,51.0,10.0,3.0,932.0
Bourgogne-Franche-Comté,2019/07/23,32.5,25.0,6.5,66.0,10.0,25.0,918.0
Bretagne,2019/07/23,37.0,25.0,21.0,60.0,10.0,10.0,924.0
Centre-Val de Loire,2019/07/23,38.0,28.0,13.0,49.0,10.0,2.0,923.0
Corse,2019/07/23,30.0,28.0,9.0,56.0,10.0,8.0,883.0
Grand Est,2019/07/23,33.0,25.5,10.0,56.0,10.0,2.5,930.0
Hauts-de-France,2019/07/23,31.0,24.5,13.5,60.0,10.0,1.0,939.5
Normandie,2019/07/23,33.0,24.0,18.0,66.0,10.0,10.0,932.0
Nouvelle-Aquitaine,2019/07/23,36.333333333333336,29.0,12.333333333333334,53.333333333333336,10.0,7.333333333333333,906.3333333333334
Occitanie,2019/07/23,34.0,28.0,18.5,60.5,10.0,9.5,893.5
Pays de la Loire,2019/07/23,39.0,29.0,27.0,49.0,10.0,5.0,917.0
Provence-Alpes-Côte d'Azur,2019/07/23,29.0,28.0,12.0,63.0,10.0,7.0,891.0
Île-de-France,2019/07/23,36.0,29.0,13.0,45.0,10.0,1.0,929.0
Bourgogne-Franche-Comté,2019/07/24,35.5,28.0,8.0,59.0,10.0,5.5,916.0
Bretagne,2019/07/24,32.0,23.0,9.0,68.0,8.75,22.0,922.0
Centre-Val de Loire,2019/07/24,37.0,27.0,10.0,54.0,10.0,26.0,919.0
Corse,2019/07/24,31.0,29.0,10.0,48.0,10.0,5.0,881.0
Grand Est,2019/07/24,35.5,28.0,6.5,58.5,10.0,6.0,927.5
Hauts-de-France,2019/07/24,30.0,24.5,15.5,67.5,10.0,10.5,937.0
Normandie,2019/07/24,27.0,23.0,10.0,71.0,9.625,23.0,929.0
Nouvelle-Aquitaine,2019/07/24,34.0,25.666666666666668,8.0,67.66666666666667,9.791666666666666,25.0,904.0
Occitanie,2019/07/24,34.5,27.5,19.0,61.5,10.0,3.0,891.5
Pays de la Loire,2019/07/24,33.0,25.0,13.0,61.0,8.75,22.0,915.0
Provence-Alpes-Côte d'Azur,2019/07/24,29.0,27.0,13.0,60.0,10.0,9.0,889.0
Île-de-France,2019/07/24,38.0,31.0,9.0,39.0,10.0,12.0,927.0
Bourgogne-Franche-Comté,2019/07/25,35.0,27.5,7.5,54.5,10.0,8.0,913.0
Bretagne,2019/07/25,31.0,27.0,18.0,57.0,10.0,6.0,919.0
Centre-Val de Loire,2019/07/25,41.0,31.0,15.0,42.0,10.0,23.0,917.0
Corse,2019/07/25,31.0,30.0,10.0,48.0,10.0,7.0,879.0
Grand Est,2019/07/25,37.0,29.5,13.0,50.0,10.0,15.0,924.5
Hauts-de-France,2019/07/25,37.5,28.0,17.5,62.5,9.9375,17.0,935.0
Normandie,2019/07/25,33.0,26.0,10.0,65.0,9.875,29.0,927.0
Nouvelle-Aquitaine,2019/07/25,32.333333333333336,28.0,17.666666666666668,51.0,9.916666666666666,11.333333333333334,902.0
Occitanie,2019/07/25,32.5,28.0,20.5,60.0,10.0,4.5,889.5
Pays de la Loire,2019/07/25,32.0,29.0,23.0,45.0,10.0,26.0,913.0
Provence-Alpes-Côte d'Azur,2019/07/25,29.0,25.0,14.0,58.0,10.0,5.0,887.0
Île-de-France,2019/07/25,40.0,32.0,14.0,40.0,9.75,32.0,925.0
Bourgogne-Franche-Comté,2019/07/26,32.0,24.5,11.0,71.5,9.1875,35.5,910.5
Bretagne,2019/07/26,23.0,20.0,11.0,87.0,9.125,61.0,916.0
Centre-Val de Loire,2019/07/26,28.0,22.0,17.0,77.0,8.625,63.0,915.0
Corse,2019/07/26,31.0,29.0,11.0,53.0,10.0,4.0,877.0
Grand Est,2019/07/26,31.5,27.5,9.5,64.5,9.75,35.0,922.0
Hauts-de-France,2019/07/26,27.0,21.5,22.0,76.0,9.6875,59.0,932.0
Normandie,2019/07/26,22.0,19.0,9.0,86.0,8.375,89.0,925.0
Nouvelle-Aquitaine,2019/07/26,22.666666666666668,19.666666666666668,12.333333333333334,91.33333333333331,8.25,76.66666666666667,899.6666666666666
Occitanie,2019/07/26,26.5,24.0,17.5,77.0,9.5,49.0,887.5
Pays de la Loire,2019/07/26,22.0,19.0,13.0,84.0,9.125,67.0,911.0
Provence-Alpes-Côte d'Azur,2019/07/26,30.0,28.0,17.0,58.0,9.875,5.0,885.0
Île-de-France,2019/07/26,30.0,25.0,20.0,56.0,9.875,59.0,922.0
Bourgogne-Franche-Comté,2019/07/27,22.5,20.0,14.0,91.0,7.125,74.5,908.0
Bretagne,2019/07/27,22.0,18.0,24.0,76.0,8.625,58.0,914.0
Centre-Val de Loire,2019/07/27,24.0,20.0,13.0,74.0,9.125,89.0,913.0
Corse,2019/07/27,29.0,28.0,13.0,58.0,10.0,33.0,875.0
Grand Est,2019/07/27,23.5,22.0,13.5,82.5,7.25,85.0,919.5
Hauts-de-France,2019/07/27,19.0,16.5,18.5,95.0,8.4375,85.5,929.0
Normandie,2019/07/27,20.0,17.0,22.0,83.0,7.875,62.0,922.0
Nouvelle-Aquitaine,2019/07/27,19.0,16.666666666666668,13.333333333333334,88.0,8.375,73.0,897.3333333333334
Occitanie,2019/07/27,23.0,20.0,27.5,78.0,8.75,79.0,885.5
Pays de la Loire,2019/07/27,23.0,18.0,17.0,74.0,7.875,63.0,907.0
Provence-Alpes-Côte d'Azur,2019/07/27,28.0,26.0,25.0,62.0,9.75,69.0,883.0
Île-de-France,2019/07/27,24.0,20.0,15.0,71.0,9.25,78.0,919.0
Bourgogne-Franche-Comté,2019/07/28,19.5,14.5,17.0,92.5,7.6875,76.5,906.0
Bretagne,2019/07/28,21.0,17.0,16.0,68.0,9.0,45.0,912.0
Centre-Val de Loire,2019/07/28,24.0,18.0,18.0,69.0,10.0,42.0,910.0
Corse,2019/07/28,24.0,21.0,31.0,83.0,7.0,90.0,873.0
Grand Est,2019/07/28,20.5,17.5,17.5,90.0,9.375,84.0,917.0
Hauts-de-France,2019/07/28,21.0,17.5,24.5,81.5,8.75,41.0,927.0
Normandie,2019/07/28,21.0,17.0,22.0,72.0,10.0,33.0,919.0
Nouvelle-Aquitaine,2019/07/28,21.33333333333333,17.333333333333332,16.0,70.0,8.875,28.0,895.0
Occitanie,2019/07/28,26.0,20.5,26.5,64.0,9.9375,37.0,883.5
Pays de la Loire,2019/07/28,23.0,17.0,22.0,62.0,9.0,15.0,905.0
Provence-Alpes-Côte d'Azur,2019/07/28,26.0,21.0,54.0,60.0,8.375,34.0,881.0
Île-de-France,2019/07/28,23.0,19.0,17.0,70.0,10.0,63.0,917.0
Bourgogne-Franche-Comté,2019/07/29,25.5,19.5,9.0,65.5,9.5,22.5,904.0
Bretagne,2019/07/29,23.0,18.0,32.0,69.0,8.875,47.0,909.0
Centre-Val de Loire,2019/07/29,27.0,20.0,12.0,53.0,10.0,8.0,907.0
Corse,2019/07/29,25.0,23.0,16.0,58.0,10.0,14.0,872.0
Grand Est,2019/07/29,25.5,20.5,4.5,66.5,9.9375,28.0,914.0
Hauts-de-France,2019/07/29,24.5,18.0,11.5,65.5,10.0,18.5,923.0
Normandie,2019/07/29,25.0,19.0,20.0,66.0,9.875,17.0,917.0
Nouvelle-Aquitaine,2019/07/29,25.33333333333333,19.666666666666668,17.333333333333332,62.66666666666666,9.666666666666666,14.0,892.3333333333334
Occitanie,2019/07/29,28.0,22.5,14.5,60.0,10.0,3.5,881.0
Pays de la Loire,2019/07/29,24.0,19.0,29.0,62.0,9.75,33.0,903.0
Provence-Alpes-Côte d'Azur,2019/07/29,26.0,22.0,29.0,56.0,10.0,1.0,879.0
Île-de-France,2019/07/29,29.0,22.0,11.0,47.0,10.0,10.0,914.0
Bourgogne-Franche-Comté,2019/07/30,24.5,20.5,13.5,67.0,10.0,33.5,900.5
Bretagne,2019/07/30,22.0,19.0,33.0,71.0,10.0,73.0,906.0
Centre-Val de Loire,2019/07/30,23.0,20.0,27.0,64.0,9.125,48.0,905.0
Corse,2019/07/30,27.0,24.0,10.0,62.0,10.0,1.0,870.0
Grand Est,2019/07/30,25.5,22.0,15.0,65.0,9.8125,36.0,911.5
Hauts-de-France,2019/07/30,23.5,19.5,32.5,75.0,9.8125,37.0,921.0
Normandie,2019/07/30,21.0,18.0,35.0,73.0,10.0,56.0,913.0
Nouvelle-Aquitaine,2019/07/30,21.33333333333333,18.33333333333333,23.33333333333333,74.66666666666667,9.208333333333334,54.66666666666666,890.3333333333334
Occitanie,2019/07/30,26.5,21.5,21.5,64.0,10.0,37.5,879.0
Pays de la Loire,2019/07/30,21.0,19.0,32.0,77.0,9.75,73.0,901.0
Provence-Alpes-Côte d'Azur,2019/07/30,29.0,26.0,25.0,55.0,10.0,5.0,877.0
Île-de-France,2019/07/30,24.0,21.0,24.0,57.0,9.75,36.0,911.0
Bourgogne-Franche-Comté,2019/07/31,23.5,17.5,11.0,66.5,10.0,29.0,898.0
Bretagne,2019/07/31,22.0,17.0,22.0,69.0,8.375,34.0,904.0
Centre-Val de Loire,2019/07/31,24.0,17.0,16.0,64.0,10.0,21.0,902.0
Corse,2019/07/31,27.0,26.0,12.0,58.0,10.0,2.0,868.0
Grand Est,2019/07/31,23.0,19.5,15.5,63.0,10.0,39.0,909.5
Hauts-de-France,2019/07/31,19.5,16.5,23.0,76.5,9.875,77.0,918.0
Normandie,2019/07/31,22.0,16.0,21.0,77.0,10.0,56.0,911.0
Nouvelle-Aquitaine,2019/07/31,23.0,18.666666666666668,9.0,62.333333333333336,9.125,41.66666666666666,888.0
Occitanie,2019/07/31,25.5,20.0,13.0,58.5,10.0,16.0,876.5
Pays de la Loire,2019/07/31,23.0,19.0,19.0,59.0,10.0,49.0,898.0
Provence-Alpes-Côte d'Azur,2019/07/31,28.0,24.0,30.0,55.0,10.0,6.0,875.0
Île-de-France,2019/07/31,22.0,19.0,16.0,55.0,10.0,49.0,909.0
Bourgogne-Franche-Comté,2019/08/01,26.0,19.0,11.5,60.5,10.0,15.0,896.0
Bretagne,2019/08/01,24.0,18.0,14.0,80.0,7.25,75.0,901.0
Centre-Val de Loire,2019/08/01,29.0,21.0,5.0,47.0,10.0,17.0,899.0
Corse,2019/08/01,30.0,28.0,10.0,44.0,10.0,7.0,866.0
Grand Est,2019/08/01,25.5,20.5,6.0,57.0,10.0,13.5,906.0
Hauts-de-France,2019/08/01,23.5,18.5,15.0,75.5,9.9375,36.0,915.0
Normandie,2019/08/01,21.0,18.0,12.0,77.0,8.0,52.0,909.0
Nouvelle-Aquitaine,2019/08/01,23.666666666666668,19.0,10.666666666666666,64.0,9.833333333333334,39.333333333333336,885.3333333333334
Occitanie,2019/08/01,27.5,22.0,11.0,53.5,9.9375,27.5,874.5
Pays de la Loire,2019/08/01,27.0,20.0,8.0,70.0,8.0,37.0,895.0
Provence-Alpes-Côte d'Azur,2019/08/01,26.0,25.0,16.0,69.0,10.0,20.0,873.0
Île-de-France,2019/08/01,28.0,22.0,11.0,39.0,10.0,24.0,905.0
Bourgogne-Franche-Comté,2019/08/02,26.0,21.5,11.0,62.5,9.9375,41.0,893.0
Bretagne,2019/08/02,27.0,19.0,16.0,72.0,9.0,11.0,898.0
Centre-Val de Loire,2019/08/02,27.0,22.0,10.0,54.0,10.0,40.0,897.0
Corse,2019/08/02,28.0,26.0,11.0,61.0,10.0,34.0,864.0
Grand Est,2019/08/02,25.0,21.5,16.0,57.0,10.0,34.0,903.5
Hauts-de-France,2019/08/02,23.5,19.0,18.5,75.0,10.0,27.0,912.0
Normandie,2019/08/02,23.0,19.0,13.0,72.0,10.0,6.0,905.0
Nouvelle-Aquitaine,2019/08/02,25.666666666666668,21.0,12.333333333333334,67.0,9.875,30.33333333333333,883.3333333333334
Occitanie,2019/08/02,29.5,23.0,11.0,63.5,10.0,15.5,872.5
Pays de la Loire,2019/08/02,29.0,22.0,15.0,67.0,10.0,6.0,892.0
Provence-Alpes-Côte d'Azur,2019/08/02,29.0,26.0,32.0,52.0,10.0,22.0,871.0
Île-de-France,2019/08/02,28.0,22.0,14.0,56.0,10.0,46.0,903.0
Bourgogne-Franche-Comté,2019/08/03,26.0,20.5,9.0,64.5,10.0,16.0,890.5
Bretagne,2019/08/03,28.0,20.0,12.0,70.0,10.0,25.0,895.0
Centre-Val de Loire,2019/08/03,28.0,20.0,10.0,61.0,10.0,19.0,894.0
Corse,2019/08/03,28.0,26.0,11.0,60.0,10.0,0.0,862.0
Grand Est,2019/08/03,25.0,19.5,10.0,68.5,9.5,45.0,900.5
Hauts-de-France,2019/08/03,22.0,18.0,9.0,79.5,7.3125,69.0,909.0
Normandie,2019/08/03,23.0,18.0,13.0,73.0,10.0,25.0,902.0
Nouvelle-Aquitaine,2019/08/03,28.666666666666668,23.0,9.0,62.0,10.0,8.333333333333334,880.3333333333334
Occitanie,2019/08/03,31.0,26.5,14.0,57.5,10.0,3.0,870.0
Pays de la Loire,2019/08/03,29.0,22.0,12.0,59.0,10.0,19.0,890.0
Provence-Alpes-Côte d'Azur,2019/08/03,30.0,26.0,27.0,48.0,10.0,0.0,868.0
Île-de-France,2019/08/03,26.0,20.0,11.0,66.0,10.0,19.0,900.0
Bourgogne-Franche-Comté,2019/08/04,29.5,22.0,6.0,61.0,10.0,15.0,887.5
Bretagne,2019/08/04,26.0,20.0,17.0,67.0,10.0,34.0,893.0
Centre-Val de Loire,2019/08/04,31.0,23.0,8.0,54.0,10.0,33.0,892.0
Corse,2019/08/04,28.0,26.0,12.0,56.0,10.0,1.0,859.0
Grand Est,2019/08/04,28.5,21.5,5.5,61.5,10.0,15.5,898.0
Hauts-de-France,2019/08/04,27.0,20.0,10.5,70.0,9.9375,27.0,906.0
Normandie,2019/08/04,25.0,21.0,14.0,59.0,10.0,32.0,899.0
Nouvelle-Aquitaine,2019/08/04,27.0,22.666666666666668,15.333333333333334,60.66666666666666,10.0,13.666666666666666,878.0
Occitanie,2019/08/04,31.0,25.0,17.0,60.5,9.9375,14.0,868.0
Pays de la Loire,2019/08/04,26.0,22.0,19.0,57.0,9.375,16.0,888.0
Provence-Alpes-Côte d'Azur,2019/08/04,30.0,28.0,13.0,47.0,10.0,3.0,865.0
Île-de-France,2019/08/04,32.0,23.0,6.0,54.0,10.0,37.0,897.0
Bourgogne-Franche-Comté,2019/08/05,29.0,22.5,13.5,61.0,9.875,37.5,885.0
Bretagne,2019/08/05,23.0,20.0,26.0,74.0,9.0,66.0,890.0
Centre-Val de Loire,2019/08/05,27.0,20.0,14.0,63.0,10.0,28.0,888.0
Corse,2019/08/05,28.0,27.0,10.0,53.0,10.0,4.0,857.0
Grand Est,2019/08/05,26.5,22.5,16.5,64.0,9.875,51.0,894.5
Hauts-de-France,2019/08/05,23.5,18.5,17.5,81.0,9.375,66.0,902.5
Normandie,2019/08/05,21.0,19.0,21.0,78.0,9.875,77.0,896.0
Nouvelle-Aquitaine,2019/08/05,25.666666666666668,20.666666666666668,12.0,73.33333333333333,9.291666666666666,28.33333333333333,875.6666666666666
Occitanie,2019/08/05,28.0,23.5,14.5,70.5,9.9375,18.0,865.0
Pays de la Loire,2019/08/05,25.0,21.0,24.0,68.0,6.75,55.0,884.0
Provence-Alpes-Côte d'Azur,2019/08/05,27.0,26.0,17.0,67.0,10.0,4.0,863.0
Île-de-France,2019/08/05,28.0,21.0,14.0,59.0,10.0,44.0,894.0
Bourgogne-Franche-Comté,2019/08/06,28.5,22.5,11.5,77.5,8.875,63.0,882.5
Bretagne,2019/08/06,21.0,18.0,17.0,84.0,8.375,81.0,887.0
Centre-Val de Loire,2019/08/06,22.0,20.0,9.0,82.0,9.375,73.0,886.0
Corse,2019/08/06,32.0,29.0,8.0,46.0,10.0,3.0,854.0
Grand Est,2019/08/06,25.5,22.5,13.5,71.5,9.625,57.5,891.5
Hauts-de-France,2019/08/06,23.0,17.5,16.0,76.5,10.0,56.0,900.0
Normandie,2019/08/06,22.0,18.0,14.0,73.0,9.875,62.0,894.0
Nouvelle-Aquitaine,2019/08/06,24.666666666666668,21.33333333333333,14.0,78.66666666666667,8.541666666666666,51.333333333333336,872.6666666666666
Occitanie,2019/08/06,29.0,24.5,17.0,72.0,9.8125,21.5,863.0
Pays de la Loire,2019/08/06,23.0,19.0,17.0,87.0,5.625,81.0,882.0
Provence-Alpes-Côte d'Azur,2019/08/06,27.0,26.0,21.0,59.0,10.0,4.0,861.0
Île-de-France,2019/08/06,22.0,17.0,12.0,78.0,9.125,67.0,892.0
Bourgogne-Franche-Comté,2019/08/07,21.0,18.5,12.5,96.0,7.5625,84.5,879.0
Bretagne,2019/08/07,25.0,19.0,18.0,73.0,6.625,44.0,884.0
Centre-Val de Loire,2019/08/07,25.0,20.0,18.0,76.0,10.0,57.0,883.0
Corse,2019/08/07,31.0,29.0,13.0,57.0,10.0,17.0,852.0
Grand Est,2019/08/07,20.5,18.5,12.5,91.0,7.375,79.0,888.5
Hauts-de-France,2019/08/07,23.0,18.5,23.0,78.0,9.875,55.5,896.5
Normandie,2019/08/07,23.0,18.0,22.0,78.0,9.0,40.0,890.0
Nouvelle-Aquitaine,2019/08/07,24.0,19.666666666666668,14.333333333333334,87.0,8.583333333333334,53.0,870.3333333333334
Occitanie,2019/08/07,27.5,23.0,10.0,76.0,9.625,54.5,860.0
Pays de la Loire,2019/08/07,25.0,19.0,22.0,77.0,6.375,49.0,879.0
Provence-Alpes-Côte d'Azur,2019/08/07,28.0,27.0,10.0,71.0,10.0,8.0,859.0
Île-de-France,2019/08/07,26.0,21.0,16.0,66.0,10.0,54.0,888.0
Bourgogne-Franche-Comté,2019/08/08,27.0,21.0,7.5,74.0,8.75,25.0,877.0
Bretagne,2019/08/08,24.0,19.0,17.0,72.0,9.0,53.0,881.0
Centre-Val de Loire,2019/08/08,29.0,21.0,13.0,60.0,10.0,40.0,880.0
Corse,2019/08/08,29.0,26.0,12.0,70.0,10.0,15.0,850.0
Grand Est,2019/08/08,26.0,20.0,8.5,72.5,9.8125,45.0,885.5
Hauts-de-France,2019/08/08,26.0,19.0,10.5,65.0,10.0,46.0,893.0
Normandie,2019/08/08,24.0,19.0,8.0,70.0,10.0,61.0,887.0
Nouvelle-Aquitaine,2019/08/08,27.33333333333333,22.33333333333333,12.0,65.66666666666667,9.666666666666666,32.0,867.3333333333334
Occitanie,2019/08/08,31.0,25.5,15.5,61.0,10.0,17.5,857.5
Pays de la Loire,2019/08/08,28.0,21.0,18.0,65.0,10.0,38.0,876.0
Provence-Alpes-Côte d'Azur,2019/08/08,29.0,28.0,18.0,52.0,10.0,10.0,856.0
Île-de-France,2019/08/08,29.0,23.0,9.0,47.0,10.0,36.0,886.0
Bourgogne-Franche-Comté,2019/08/09,31.5,25.0,20.0,64.0,9.8125,39.5,874.0
Bretagne,2019/08/09,24.0,21.0,45.0,77.0,9.375,56.0,878.0
Centre-Val de Loire,2019/08/09,27.0,23.0,19.0,70.0,9.625,61.0,877.0
Corse,2019/08/09,30.0,28.0,10.0,51.0,10.0,2.0,847.0
Grand Est,2019/08/09,29.0,23.5,15.0,70.0,9.125,48.0,883.0
Hauts-de-France,2019/08/09,25.5,19.5,28.0,90.5,8.5625,57.5,890.0
Normandie,2019/08/09,26.0,22.0,38.0,74.0,9.875,54.0,885.0
Nouvelle-Aquitaine,2019/08/09,26.33333333333333,21.33333333333333,18.0,78.33333333333333,9.583333333333334,51.333333333333336,865.0
