25/01/2020 13:00 | zone=1 | sensor=AQ-03 | pm25=NA | no2=20.12
30/01/2020 19:00 | zone=1 | sensor=AQ-01 | pm25=12,3 | no2=N/A
12/06/2020 12:00 | zone=10 | sensor=AQ-03 | pm25=19.57 | no2=-1
14/11/2021 07:00 | zone=7 | sensor=AQ-01 | pm25=1.99 | no2=-1
30/07/2021 01:00 | zone=5 | sensor=AQ-01 | pm25=-5 | no2=
30/01/2020 11:00 | zone=3 | sensor=AQ-99 | pm25=-5 | no2=N/A
18/07/2021 18:00 | zone=9 | sensor=AQ-02 | pm25= | no2=N/A
17/04/2019 09:00 | zone=999 | sensor=AQ-99 | pm25= | no2=45.0
16/02/2021 00:00 | zone=2 | sensor=AQ-03 | pm25=12,3 | no2=40,7
10/11/2021 03:00 | zone=10 | sensor=AQ-02 | pm25=12,3 | no2=48.12
20/04/2022 10:00 | zone=10 | sensor=AQ-02 | pm25=12,3 | no2=N/A
06/08/2020 14:00 | zone=2 | sensor=AQ-02 | pm25=NA | no2=
19/04/2021 23:00 | zone=3 | sensor=AQ-99 | pm25= | no2=
26/06/2022 08:00 | zone=3 | sensor=AQ-03 | pm25=-5 | no2=N/A
12/06/2021 08:00 | zone=2 | sensor=AQ-02 | pm25=NA | no2=40,7
14/02/2019 22:00 | zone=9 | sensor=AQ-99 | pm25=12,3 | no2=-1
09/12/2022 21:00 | zone=9 | sensor=AQ-03 | pm25=12.28 | no2=25.56
05/10/2019 05:00 | zone=10 | sensor=AQ-03 | pm25=8.35 | no2=32.46
27/09/2022 23:00 | zone=4 | sensor=AQ-01 | pm25= | no2=40,7
31/01/2020 07:00 | zone=2 | sensor=AQ-02 | pm25=12,3 | no2=
27/02/2021 21:00 | zone=9 | sensor=AQ-99 | pm25= | no2=-1
20/09/2022 02:00 | zone=4 | sensor=AQ-03 | pm25=12.12 | no2=
07/11/2019 00:00 | zone=5 | sensor=AQ-01 | pm25=NA | no2=
24/05/2020 20:00 | zone=4 | sensor=AQ-01 | pm25=-5 | no2=40,7
27/10/2021 23:00 | zone=7 | sensor=AQ-99 | pm25= | no2=-1
25/01/2021 12:00 | zone=2 | sensor=AQ-03 | pm25=-5 | no2=
05/06/2020 05:00 | zone=6 | sensor=AQ-02 | pm25= | no2=-1
02/10/2020 23:00 | zone=2 | sensor=AQ-03 | pm25=12,3 | no2=31.43
22/06/2022 17:00 | zone=4 | sensor=AQ-99 | pm25=12,3 | no2=40,7
30/11/2021 05:00 | zone=3 | sensor=AQ-02 | pm25=12,3 | no2=40,7
31/05/2022 21:00 | zone=999 | sensor=AQ-03 | pm25=12,3 | no2=40,7
11/10/2020 22:00 | zone=2 | sensor=AQ-03 | pm25=12,3 | no2=40,7
15/02/2022 01:00 | zone=1 | sensor=AQ-01 | pm25=12,3 | no2=40,7
21/01/2020 15:00 | zone=1 | sensor=AQ-03 | pm25= | no2=39.44
15/10/2021 22:00 | zone=8 | sensor=AQ-03 | pm25= | no2=N/A
25/01/2021 04:00 | zone=5 | sensor=AQ-02 | pm25=12.17 | no2=N/A
21/01/2021 10:00 | zone=1 | sensor=AQ-99 | pm25= | no2=-1
24/08/2022 03:00 | zone=7 | sensor=AQ-03 | pm25=12,3 | no2=
03/05/2019 11:00 | zone=8 | sensor=AQ-99 | pm25=NA | no2=
19/09/2020 20:00 | zone=9 | sensor=AQ-02 | pm25= | no2=-1
04/07/2019 02:00 | zone=2 | sensor=AQ-99 | pm25=-5 | no2=N/A
26/12/2022 03:00 | zone=999 | sensor=AQ-02 | pm25=17.83 | no2=47.11
01/01/2022 17:00 | zone=3 | sensor=AQ-99 | pm25=-5 | no2=-1
16/03/2020 01:00 | zone=6 | sensor=AQ-99 | pm25=15.83 | no2=40,7
11/01/2021 05:00 | zone=8 | sensor=AQ-03 | pm25=-5 | no2=57.94
14/05/2020 12:00 | zone=999 | sensor=AQ-99 | pm25=12,3 | no2=25.45
17/01/2021 19:00 | zone=6 | sensor=AQ-01 | pm25=22.13 | no2=
22/08/2022 22:00 | zone=3 | sensor=AQ-03 | pm25=12,3 | no2=
15/01/2021 08:00 | zone=2 | sensor=AQ-99 | pm25=12,3 | no2=N/A
15/03/2021 05:00 | zone=5 | sensor=AQ-01 | pm25=NA | no2=
30/10/2022 01:00 | zone=999 | sensor=AQ-03 | pm25=12,3 | no2=N/A
19/01/2022 23:00 | zone=3 | sensor=AQ-02 | pm25=12,3 | no2=
03/03/2020 04:00 | zone=8 | sensor=AQ-99 | pm25=24.31 | no2=-1
05/06/2019 09:00 | zone=7 | sensor=AQ-03 | pm25=-5 | no2=N/A
25/04/2019 13:00 | zone=9 | sensor=AQ-02 | pm25=12,3 | no2=N/A
21/12/2022 06:00 | zone=9 | sensor=AQ-02 | pm25=NA | no2=N/A
24/10/2022 17:00 | zone=4 | sensor=AQ-99 | pm25=9.96 | no2=48.4
10/12/2020 15:00 | zone=8 | sensor=AQ-02 | pm25=NA | no2=40,7
17/07/2022 01:00 | zone=2 | sensor=AQ-02 | pm25=12,3 | no2=-1
06/10/2022 03:00 | zone=3 | sensor=AQ-99 | pm25=9.21 | no2=-1
28/11/2022 02:00 | zone=6 | sensor=AQ-03 | pm25=NA | no2=
04/09/2021 08:00 | zone=999 | sensor=AQ-03 | pm25=21.66 | no2=
16/11/2022 12:00 | zone=9 | sensor=AQ-03 | pm25= | no2=40,7
03/02/2022 13:00 | zone=8 | sensor=AQ-03 | pm25=12,3 | no2=-1
29/06/2019 23:00 | zone=5 | sensor=AQ-03 | pm25=14.44 | no2=
20/11/2021 03:00 | zone=10 | sensor=AQ-02 | pm25=12,3 | no2=
14/05/2022 03:00 | zone=1 | sensor=AQ-02 | pm25=-5 | no2=-1
15/01/2020 09:00 | zone=10 | sensor=AQ-03 | pm25=NA | no2=40,7
06/09/2021 07:00 | zone=5 | sensor=AQ-99 | pm25= | no2=
11/04/2021 16:00 | zone=3 | sensor=AQ-01 | pm25= | no2=40,7
16/01/2020 16:00 | zone=7 | sensor=AQ-02 | pm25= | no2=-1
22/03/2021 16:00 | zone=10 | sensor=AQ-02 | pm25=-5 | no2=N/A
17/08/2020 11:00 | zone=10 | sensor=AQ-01 | pm25=-5 | no2=N/A
15/08/2022 16:00 | zone=1 | sensor=AQ-02 | pm25=19.48 | no2=40,7
21/06/2021 07:00 | zone=4 | sensor=AQ-03 | pm25=20.67 | no2=N/A
20/10/2020 14:00 | zone=7 | sensor=AQ-02 | pm25=NA | no2=N/A
12/04/2020 07:00 | zone=5 | sensor=AQ-01 | pm25=12,3 | no2=
27/11/2019 07:00 | zone=1 | sensor=AQ-03 | pm25=-5 | no2=38.06
30/10/2021 13:00 | zone=10 | sensor=AQ-02 | pm25=12,3 | no2=-1
23/06/2019 15:00 | zone=1 | sensor=AQ-03 | pm25=12,3 | no2=
11/06/2019 12:00 | zone=6 | sensor=AQ-99 | pm25= | no2=-1
30/01/2020 23:00 | zone=6 | sensor=AQ-99 | pm25=-5 | no2=N/A
01/05/2019 14:00 | zone=8 | sensor=AQ-03 | pm25=NA | no2=40,7
01/11/2019 10:00 | zone=9 | sensor=AQ-03 | pm25=-5 | no2=24.78
16/04/2022 23:00 | zone=8 | sensor=AQ-01 | pm25= | no2=-1
29/06/2021 22:00 | zone=10 | sensor=AQ-03 | pm25=12,3 | no2=27.51
06/08/2020 22:00 | zone=10 | sensor=AQ-01 | pm25=12,3 | no2=40,7
03/11/2020 10:00 | zone=1 | sensor=AQ-01 | pm25=0 | no2=N/A
30/11/2019 11:00 | zone=1 | sensor=AQ-03 | pm25=12,3 | no2=18.38
02/06/2021 01:00 | zone=1 | sensor=AQ-99 | pm25=12,3 | no2=-1
22/04/2019 19:00 | zone=2 | sensor=AQ-03 | pm25=-5 | no2=-1
19/01/2021 03:00 | zone=999 | sensor=AQ-01 | pm25=NA | no2=11.66
04/01/2019 01:00 | zone=10 | sensor=AQ-01 | pm25=12,3 | no2=35.99
06/04/2020 08:00 | zone=3 | sensor=AQ-03 | pm25=NA | no2=-1
19/10/2022 06:00 | zone=2 | sensor=AQ-01 | pm25=10.58 | no2=40,7
05/04/2020 12:00 | zone=2 | sensor=AQ-99 | pm25= | no2=N/A
27/10/2021 20:00 | zone=3 | sensor=AQ-03 | pm25= | no2=N/A
19/12/2021 08:00 | zone=1 | sensor=AQ-99 | pm25=4.69 | no2=39.46
02/10/2022 01:00 | zone=3 | sensor=AQ-03 | pm25= | no2=
10/12/2019 02:00 | zone=2 | sensor=AQ-99 | pm25=-5 | no2=
19/10/2019 08:00 | zone=4 | sensor=AQ-99 | pm25=NA | no2=-1
18/06/2020 10:00 | zone=6 | sensor=AQ-99 | pm25= | no2=54.29
23/01/2020 02:00 | zone=9 | sensor=AQ-99 | pm25=12,3 | no2=
18/08/2020 00:00 | zone=10 | sensor=AQ-99 | pm25=12,3 | no2=
29/09/2022 17:00 | zone=3 | sensor=AQ-01 | pm25= | no2=N/A
19/04/2019 05:00 | zone=999 | sensor=AQ-02 | pm25=NA | no2=N/A
03/05/2021 16:00 | zone=7 | sensor=AQ-01 | pm25=12,3 | no2=42.81
17/10/2019 01:00 | zone=2 | sensor=AQ-03 | pm25=NA | no2=-1
15/12/2021 02:00 | zone=1 | sensor=AQ-02 | pm25=12,3 | no2=
04/02/2022 13:00 | zone=3 | sensor=AQ-03 | pm25=20.99 | no2=-1
23/03/2020 02:00 | zone=999 | sensor=AQ-01 | pm25=12,3 | no2=N/A
16/02/2021 09:00 | zone=7 | sensor=AQ-01 | pm25=12,3 | no2=40,7
04/12/2021 17:00 | zone=1 | sensor=AQ-99 | pm25= | no2=N/A
08/12/2020 07:00 | zone=7 | sensor=AQ-99 | pm25=10.47 | no2=48.92
12/11/2020 18:00 | zone=999 | sensor=AQ-03 | pm25=-5 | no2=19.2
24/04/2020 22:00 | zone=6 | sensor=AQ-01 | pm25=-5 | no2=-1
19/03/2021 04:00 | zone=4 | sensor=AQ-01 | pm25=-5 | no2=40,7
25/06/2020 14:00 | zone=8 | sensor=AQ-01 | pm25=28.1 | no2=40,7
22/12/2021 18:00 | zone=999 | sensor=AQ-03 | pm25=-5 | no2=40,7
11/07/2022 02:00 | zone=9 | sensor=AQ-01 | pm25=-5 | no2=40,7
08/01/2022 13:00 | zone=1 | sensor=AQ-01 | pm25=NA | no2=40,7
13/08/2022 12:00 | zone=999 | sensor=AQ-03 | pm25=NA | no2=N/A
01/10/2019 20:00 | zone=2 | sensor=AQ-03 | pm25=11.71 | no2=25.33
29/12/2021 22:00 | zone=1 | sensor=AQ-03 | pm25=-5 | no2=N/A
29/10/2021 19:00 | zone=1 | sensor=AQ-01 | pm25=NA | no2=
14/06/2019 13:00 | zone=3 | sensor=AQ-02 | pm25= | no2=40,7
17/01/2021 03:00 | zone=6 | sensor=AQ-03 | pm25=15.98 | no2=-1
19/06/2019 00:00 | zone=999 | sensor=AQ-03 | pm25=NA | no2=N/A
22/12/2019 10:00 | zone=999 | sensor=AQ-99 | pm25=12,3 | no2=N/A
06/02/2020 02:00 | zone=2 | sensor=AQ-99 | pm25= | no2=N/A
19/11/2022 20:00 | zone=7 | sensor=AQ-02 | pm25=22.05 | no2=
28/09/2020 22:00 | zone=8 | sensor=AQ-01 | pm25=8.24 | no2=
05/01/2022 22:00 | zone=8 | sensor=AQ-01 | pm25=NA | no2=-1
26/10/2021 10:00 | zone=1 | sensor=AQ-99 | pm25= | no2=-1
29/01/2022 02:00 | zone=4 | sensor=AQ-02 | pm25=24.65 | no2=
16/04/2019 15:00 | zone=999 | sensor=AQ-01 | pm25=-5 | no2=39.9
02/07/2021 05:00 | zone=3 | sensor=AQ-01 | pm25= | no2=40,7
20/07/2019 05:00 | zone=9 | sensor=AQ-01 | pm25=12,3 | no2=
07/12/2021 15:00 | zone=5 | sensor=AQ-02 | pm25=12,3 | no2=40,7
22/04/2020 07:00 | zone=10 | sensor=AQ-01 | pm25=-5 | no2=51.3
24/06/2019 02:00 | zone=3 | sensor=AQ-01 | pm25= | no2=-1
27/04/2019 06:00 | zone=999 | sensor=AQ-03 | pm25= | no2=
01/01/2021 22:00 | zone=8 | sensor=AQ-01 | pm25=NA | no2=
10/04/2022 16:00 | zone=8 | sensor=AQ-02 | pm25=NA | no2=-1
16/06/2021 10:00 | zone=9 | sensor=AQ-01 | pm25=-5 | no2=30.9
28/06/2022 20:00 | zone=4 | sensor=AQ-02 | pm25=15.22 | no2=40,7
24/11/2022 01:00 | zone=6 | sensor=AQ-03 | pm25= | no2=57.47
03/08/2020 05:00 | zone=1 | sensor=AQ-99 | pm25= | no2=40,7
26/03/2022 17:00 | zone=10 | sensor=AQ-01 | pm25=NA | no2=
10/10/2020 09:00 | zone=1 | sensor=AQ-01 | pm25=-5 | no2=46.54
17/02/2020 07:00 | zone=4 | sensor=AQ-02 | pm25=12,3 | no2=
11/06/2020 21:00 | zone=10 | sensor=AQ-02 | pm25= | no2=-1
02/09/2020 08:00 | zone=10 | sensor=AQ-01 | pm25=NA | no2=N/A
12/11/2021 08:00 | zone=8 | sensor=AQ-01 | pm25=-5 | no2=N/A
29/12/2019 20:00 | zone=1 | sensor=AQ-03 | pm25=NA | no2=N/A
04/05/2019 09:00 | zone=10 | sensor=AQ-99 | pm25=12,3 | no2=
26/03/2021 04:00 | zone=6 | sensor=AQ-01 | pm25=12,3 | no2=
06/09/2019 14:00 | zone=2 | sensor=AQ-99 | pm25=-5 | no2=20.4
16/02/2019 19:00 | zone=8 | sensor=AQ-01 | pm25= | no2=
29/07/2020 02:00 | zone=4 | sensor=AQ-01 | pm25=15.3 | no2=
11/02/2021 13:00 | zone=999 | sensor=AQ-02 | pm25=NA | no2=28.69
08/10/2021 06:00 | zone=6 | sensor=AQ-03 | pm25=5.59 | no2=
30/01/2020 01:00 | zone=6 | sensor=AQ-01 | pm25=NA | no2=40,7
08/07/2019 01:00 | zone=4 | sensor=AQ-02 | pm25=NA | no2=
28/08/2020 22:00 | zone=6 | sensor=AQ-01 | pm25=12,3 | no2=N/A
09/11/2019 00:00 | zone=7 | sensor=AQ-02 | pm25= | no2=N/A
03/06/2019 02:00 | zone=999 | sensor=AQ-99 | pm25=22.76 | no2=-1
01/03/2019 05:00 | zone=3 | sensor=AQ-02 | pm25=8.86 | no2=
24/10/2020 14:00 | zone=1 | sensor=AQ-02 | pm25=-5 | no2=40,7
25/04/2020 01:00 | zone=9 | sensor=AQ-03 | pm25=17.19 | no2=
21/01/2022 20:00 | zone=7 | sensor=AQ-03 | pm25=18.03 | no2=-1
24/08/2022 22:00 | zone=8 | sensor=AQ-03 | pm25= | no2=-1
06/08/2020 19:00 | zone=9 | sensor=AQ-02 | pm25=NA | no2=39.07
07/10/2021 19:00 | zone=1 | sensor=AQ-02 | pm25=-5 | no2=N/A
15/07/2019 11:00 | zone=8 | sensor=AQ-03 | pm25=NA | no2=18.02
22/09/2020 10:00 | zone=1 | sensor=AQ-99 | pm25=-5 | no2=-1
04/11/2021 14:00 | zone=3 | sensor=AQ-03 | pm25=-5 | no2=
20/04/2019 09:00 | zone=1 | sensor=AQ-03 | pm25=15.63 | no2=48.05
07/07/2021 21:00 | zone=2 | sensor=AQ-01 | pm25=NA | no2=52.16
13/04/2021 01:00 | zone=4 | sensor=AQ-02 | pm25=1.62 | no2=N/A
03/02/2022 06:00 | zone=7 | sensor=AQ-99 | pm25=NA | no2=
20/09/2020 10:00 | zone=9 | sensor=AQ-03 | pm25=12,3 | no2=
30/05/2021 05:00 | zone=10 | sensor=AQ-01 | pm25=12.15 | no2=-1
03/06/2019 20:00 | zone=7 | sensor=AQ-02 | pm25=12,3 | no2=N/A
11/03/2019 02:00 | zone=999 | sensor=AQ-03 | pm25=13.09 | no2=29.87
10/01/2022 16:00 | zone=6 | sensor=AQ-01 | pm25=NA | no2=57.59
02/07/2020 01:00 | zone=7 | sensor=AQ-02 | pm25=12,3 | no2=-1
16/01/2019 00:00 | zone=8 | sensor=AQ-03 | pm25=24.54 | no2=
25/01/2019 12:00 | zone=9 | sensor=AQ-02 | pm25=12,3 | no2=-1
23/09/2020 10:00 | zone=6 | sensor=AQ-02 | pm25= | no2=40,7
27/02/2021 12:00 | zone=10 | sensor=AQ-01 | pm25=17.92 | no2=40,7
23/12/2019 00:00 | zone=2 | sensor=AQ-03 | pm25=NA | no2=16.11
18/11/2022 02:00 | zone=999 | sensor=AQ-03 | pm25=12,3 | no2=40,7
01/09/2022 17:00 | zone=1 | sensor=AQ-01 | pm25=12,3 | no2=40,7
13/03/2019 07:00 | zone=6 | sensor=AQ-01 | pm25=22.5 | no2=-1
03/12/2022 02:00 | zone=999 | sensor=AQ-02 | pm25=-5 | no2=
29/12/2022 19:00 | zone=8 | sensor=AQ-03 | pm25=4.35 | no2=N/A
09/09/2021 18:00 | zone=4 | sensor=AQ-03 | pm25=12,3 | no2=32.22
27/02/2020 10:00 | zone=6 | sensor=AQ-99 | pm25=-5 | no2=N/A
27/11/2022 13:00 | zone=10 | sensor=AQ-01 | pm25=12,3 | no2=40,7
20/08/2022 22:00 || zone=2 || sensor=AQ-03 || pm25=-5 || no2=
15/09/2022 22:00 | zone=10 | sensor=AQ-01 | pm25=12,3 | no2=40,7
23/01/2020 08:00 | zone=6 | sensor=AQ-01 | pm25=-5 | no2=40,7
23/06/2022 08:00 | zone=6 | sensor=AQ-01 | pm25=15.0 | no2=40,7
23/03/2021 14:00 | zone=5 | sensor=AQ-02 | pm25= | no2=40,7
11/11/2021 04:00 | zone=3 | sensor=AQ-99 | pm25=12,3 | no2=N/A
24/06/2020 21:00 | zone=10 | sensor=AQ-99 | pm25=12,3 | no2=N/A
08/10/2019 16:00 | zone=1 | sensor=AQ-01 | pm25=12,3 | no2=N/A
08/03/2022 03:00 | zone=2 | sensor=AQ-01 | pm25=21.74 | no2=40,7
30/11/2022 00:00 | zone=5 | sensor=AQ-01 | pm25= | no2=-1
03/02/2021 08:00 | zone=3 | sensor=AQ-02 | pm25=12,3 | no2=
15/11/2020 16:00 | zone=7 | sensor=AQ-02 | pm25=12,3 | no2=40,7
15/03/2019 17:00 | zone=10 | sensor=AQ-01 | pm25=21.95 | no2=-1
28/11/2022 10:00 | zone=9 | sensor=AQ-99 | pm25= | no2=N/A
19/08/2021 05:00 | zone=2 | sensor=AQ-99 | pm25=12,3 | no2=31.02
01/08/2020 19:00 | zone=5 | sensor=AQ-02 | pm25= | no2=
12/09/2019 02:00 | zone=8 | sensor=AQ-03 | pm25= | no2=N/A
03/05/2021 00:00 | zone=9 | sensor=AQ-03 | pm25=9.35 | no2=N/A
08/12/2020 11:00 | zone=9 | sensor=AQ-03 | pm25=12,3 | no2=N/A
11/02/2020 19:00 | zone=6 | sensor=AQ-01 | pm25= | no2=40,7
05/04/2020 00:00 | zone=9 | sensor=AQ-99 | pm25=NA | no2=-1
09/01/2022 13:00 | zone=4 | sensor=AQ-01 | pm25=-5 | no2=40,7
02/12/2021 06:00 | zone=8 | sensor=AQ-03 | pm25=-5 | no2=49.28
14/01/2021 21:00 | zone=1 | sensor=AQ-01 | pm25=12,3 | no2=N/A
26/03/2019 12:00 | zone=10 | sensor=AQ-02 | pm25= | no2=-1
15/07/2021 00:00 | zone=9 | sensor=AQ-01 | pm25=-5 | no2=-1
09/12/2021 02:00 | zone=8 | sensor=AQ-02 | pm25=-5 | no2=N/A
14/09/2021 20:00 | zone=4 | sensor=AQ-99 | pm25=12,3 | no2=N/A
15/09/2020 23:00 | zone=999 | sensor=AQ-03 | pm25=NA | no2=37.93
11/02/2019 16:00 | zone=10 | sensor=AQ-02 | pm25=12,3 | no2=47.0
29/03/2019 21:00 | zone=6 | sensor=AQ-03 | pm25=12,3 | no2=47.28
02/08/2019 13:00 | zone=1 | sensor=AQ-03 | pm25=14.74 | no2=18.0
12/07/2021 20:00 | zone=999 | sensor=AQ-99 | pm25=12,3 | no2=N/A
21/12/2021 14:00 | zone=5 | sensor=AQ-02 | pm25= | no2=-1
13/08/2021 01:00 | zone=6 | sensor=AQ-03 | pm25=NA | no2=N/A
07/10/2020 18:00 | zone=4 | sensor=AQ-03 | pm25=NA | no2=40,7
05/11/2019 05:00 | zone=6 | sensor=AQ-01 | pm25=NA | no2=40,7
01/12/2021 22:00 | zone=5 | sensor=AQ-02 | pm25=12,3 | no2=40,7
26/06/2020 06:00 | zone=4 | sensor=AQ-02 | pm25= | no2=-1
29/01/2021 02:00 | zone=3 | sensor=AQ-02 | pm25=NA | no2=-1
22/10/2021 19:00 | zone=10 | sensor=AQ-03 | pm25=7.03 | no2=18.42
19/09/2022 02:00 | zone=999 | sensor=AQ-02 | pm25=-5 | no2=N/A
17/05/2020 01:00 | zone=2 | sensor=AQ-02 | pm25=NA | no2=
17/08/2019 18:00 | zone=5 | sensor=AQ-02 | pm25=-5 | no2=-1
07/05/2019 07:00 | zone=2 | sensor=AQ-99 | pm25=12,3 | no2=40.03
11/09/2021 21:00 | zone=7 | sensor=AQ-02 | pm25=12,3 | no2=-1
04/06/2021 11:00 | zone=10 | sensor=AQ-03 | pm25=24.39 | no2=N/A
14/01/2021 23:00 | zone=4 | sensor=AQ-01 | pm25=12,3 | no2=N/A
24/06/2022 20:00 | zone=7 | sensor=AQ-99 | pm25=12,3 | no2=40,7
23/02/2020 15:00 | zone=8 | sensor=AQ-03 | pm25= | no2=N/A
07/04/2020 12:00 | zone=8 | sensor=AQ-03 | pm25=-5 | no2=N/A
13/09/2019 13:00 | zone=10 | sensor=AQ-99 | pm25=22.51 | no2=40,7
11/12/2022 05:00 | zone=999 | sensor=AQ-99 | pm25=7.49 | no2=50.41
07/06/2021 07:00 | zone=5 | sensor=AQ-02 | pm25= | no2=N/A
10/06/2021 03:00 | zone=1 | sensor=AQ-99 | pm25=5.04 | no2=
01/07/2022 14:00 | zone=7 | sensor=AQ-03 | pm25=12,3 | no2=22.92
04/12/2022 21:00 | zone=8 | sensor=AQ-02 | pm25=14.77 | no2=-1
25/07/2022 00:00 | zone=6 | sensor=AQ-03 | pm25= | no2=40,7
07/10/2022 17:00 | zone=2 | sensor=AQ-99 | pm25=18.35 | no2=-1
10/04/2019 02:00 | zone=999 | sensor=AQ-01 | pm25=NA | no2=59.73
13/05/2022 18:00 | zone=8 | sensor=AQ-02 | pm25=12,3 | no2=N/A
10/11/2022 12:00 | zone=6 | sensor=AQ-99 | pm25= | no2=
14/09/2022 11:00 | zone=6 | sensor=AQ-02 | pm25=23.15 | no2=N/A
15/04/2020 14:00 | zone=8 | sensor=AQ-99 | pm25=12,3 | no2=N/A
30/01/2020 12:00 | zone=10 | sensor=AQ-99 | pm25= | no2=-1
05/08/2021 04:00 | zone=1 | sensor=AQ-99 | pm25=-5 | no2=-1
30/08/2021 08:00 | zone=10 | sensor=AQ-02 | pm25= | no2=-1
21/01/2021 20:00 | zone=999 | sensor=AQ-03 | pm25=NA | no2=N/A
01/05/2022 18:00 | zone=10 | sensor=AQ-03 | pm25=3.05 | no2=-1
18/09/2021 11:00 | zone=9 | sensor=AQ-99 | pm25=22.32 | no2=22.8
28/02/2019 05:00 | zone=8 | sensor=AQ-99 | pm25=12,3 | no2=40,7
22/10/2022 13:00 | zone=9 | sensor=AQ-99 | pm25=19.76 | no2=37.52
23/04/2021 04:00 | zone=9 | sensor=AQ-02 | pm25=12,3 | no2=N/A
15/05/2022 04:00 | zone=2 | sensor=AQ-02 | pm25=12,3 | no2=
02/01/2020 14:00 | zone=1 | sensor=AQ-03 | pm25=9.75 | no2=39.25
23/02/2021 12:00 | zone=999 | sensor=AQ-02 | pm25=-5 | no2=59.86
30/10/2020 08:00 | zone=4 | sensor=AQ-03 | pm25=18.94 | no2=
20/02/2019 07:00 | zone=7 | sensor=AQ-03 | pm25=NA | no2=
17/11/2020 13:00 | zone=9 | sensor=AQ-03 | pm25=-5 | no2=
12/07/2022 14:00 | zone=10 | sensor=AQ-02 | pm25=NA | no2=50.05
30/08/2019 08:00 | zone=4 | sensor=AQ-02 | pm25= | no2=-1
10/04/2021 08:00 | zone=7 | sensor=AQ-03 | pm25=-5 | no2=40,7
06/08/2022 01:00 | zone=9 | sensor=AQ-99 | pm25=-5 | no2=N/A
28/04/2022 23:00 | zone=3 | sensor=AQ-03 | pm25= | no2=29.91
06/03/2021 21:00 | zone=8 | sensor=AQ-03 | pm25= | no2=40,7
30/08/2019 23:00 | zone=3 | sensor=AQ-03 | pm25=-5 | no2=N/A
19/03/2021 18:00 | zone=1 | sensor=AQ-02 | pm25=12,3 | no2=23.9
10/02/2020 21:00 | zone=10 | sensor=AQ-01 | pm25=NA | no2=-1
15/07/2019 14:00 | zone=7 | sensor=AQ-01 | pm25=-5 | no2=
08/08/2021 12:00 | zone=1 | sensor=AQ-03 | pm25=-5 | no2=-1
14/06/2021 12:00 | zone=999 | sensor=AQ-03 | pm25=NA | no2=40,7
13/05/2022 20:00 | zone=999 | sensor=AQ-02 | pm25=NA | no2=
02/02/2019 11:00 | zone=4 | sensor=AQ-01 | pm25=10.75 | no2=-1
31/10/2019 11:00 | zone=1 | sensor=AQ-99 | pm25=12,3 | no2=-1
30/09/2019 11:00 | zone=8 | sensor=AQ-99 | pm25=12,3 | no2=37.48
30/11/2020 05:00 | zone=2 | sensor=AQ-99 | pm25=12,3 | no2=40,7
22/11/2020 15:00 | zone=7 | sensor=AQ-03 | pm25=NA | no2=
05/01/2022 15:00 | zone=1 | sensor=AQ-03 | pm25=12,3 | no2=N/A
05/08/2020 12:00 | zone=7 | sensor=AQ-01 | pm25=-5 | no2=40,7
03/04/2020 06:00 | zone=5 | sensor=AQ-03 | pm25=13.48 | no2=
29/03/2021 08:00 | zone=3 | sensor=AQ-01 | pm25= | no2=23.47
30/06/2020 14:00 | zone=4 | sensor=AQ-03 | pm25=NA | no2=-1
02/10/2020 04:00 | zone=9 | sensor=AQ-01 | pm25=-5 | no2=-1
02/01/2021 19:00 | zone=5 | sensor=AQ-03 | pm25= | no2=40,7
15/12/2020 13:00 | zone=999 | sensor=AQ-99 | pm25=12,3 | no2=43.37
04/11/2022 22:00 | zone=2 | sensor=AQ-02 | pm25= | no2=-1
23/10/2019 07:00 | zone=999 | sensor=AQ-02 | pm25=28.75 | no2=40,7
23/04/2020 13:00 | zone=4 | sensor=AQ-02 | pm25=NA | no2=56.3
11/10/2020 12:00 | zone=7 | sensor=AQ-02 | pm25=NA | no2=N/A
28/04/2020 04:00 | zone=3 | sensor=AQ-03 | pm25=-5 | no2=40,7
24/10/2022 15:00 | zone=1 | sensor=AQ-01 | pm25=-5 | no2=49.13
27/08/2020 09:00 | zone=7 | sensor=AQ-99 | pm25=NA | no2=-1
21/09/2019 04:00 | zone=9 | sensor=AQ-99 | pm25=-5 | no2=43.05
04/10/2019 09:00 | zone=8 | sensor=AQ-02 | pm25=-5 | no2=-1
18/04/2021 16:00 | zone=6 | sensor=AQ-01 | pm25=NA | no2=
07/12/2020 07:00 | zone=9 | sensor=AQ-01 | pm25=-5 | no2=41.0
04/10/2019 06:00 | zone=1 | sensor=AQ-99 | pm25= | no2=-1
22/08/2019 22:00 | zone=9 | sensor=AQ-99 | pm25=12,3 | no2=40,7
02/01/2022 03:00 | zone=10 | sensor=AQ-02 | pm25=NA | no2=40,7
21/07/2019 06:00 | zone=10 | sensor=AQ-02 | pm25= | no2=N/A
03/07/2019 20:00 | zone=9 | sensor=AQ-02 | pm25=23.9 | no2=27.71
05/07/2022 00:00 | zone=8 | sensor=AQ-03 | pm25=-5 | no2=-1
28/06/2019 05:00 | zone=7 | sensor=AQ-99 | pm25=NA | no2=
17/11/2019 14:00 | zone=2 | sensor=AQ-02 | pm25=NA | no2=N/A
24/10/2021 04:00 | zone=7 | sensor=AQ-01 | pm25= | no2=N/A
05/12/2021 04:00 | zone=7 | sensor=AQ-02 | pm25= | no2=-1
